Pop	Sample	bufo	spino	missing
1-4	1582	0.995	0.005	0
1-4	1583	0.995	0.005	0
1-4	1584	0.995	0.005	0
1-4	1585	0.995	0.005	0
1-4	1586	0.996	0.004	0
1-4	1587	0.984	0.016	0
1-4	1588	0.996	0.004	0
1-4	1589	0.995	0.005	0
1-4	1590	0.996	0.004	0
1-4	1591	0.995	0.005	0
1-4	1572	0.995	0.005	0
1-4	1573	0.995	0.005	0
1-4	1574	0.995	0.005	0
1-4	1575	0.996	0.004	0
1-4	1576	0.995	0.005	0
1-4	1577	0.995	0.005	0
1-4	1578	0.996	0.004	0
1-4	1579	0.995	0.005	0
1-4	1580	0.995	0.005	0
1-4	1581	0.996	0.004	0
1-4	1652	0.995	0.005	0
1-4	1653	0.996	0.004	0
1-4	1654	0.994	0.006	0
1-4	1655	0.996	0.004	0
1-4	1656	0.995	0.005	0
1-4	1657	0.996	0.004	0
1-4	1659	0.996	0.004	0
1-4	4281	0.995	0.005	0
1-4	4282	0.992	0.008	0
1-4	4283	0.996	0.004	0
1-4	4284	0.992	0.008	0
1-4	4285	0.995	0.005	0
1-4	4286	0.996	0.004	0
5	162	0.996	0.004	0
5	163	0.996	0.004	0
5	164	0.982	0.018	0
5	165	0.992	0.008	0
5	166	0.98	0.02	0
5	167	0.979	0.021	0
5	168	0.985	0.015	0
5	169	0.995	0.005	0
5	170	0.983	0.017	0
5	171	0.996	0.004	0
5	172	0.977	0.023	0
5	174	0.995	0.005	0
5	175	0.96	0.04	0
5	176	0.995	0.005	0
5	177	0.959	0.041	0
5	178	0.962	0.038	0
5	179	0.982	0.018	0
5	180	0.957	0.043	0
5	181	0.984	0.016	0
5	182	0.991	0.009	0
6	191	0.996	0.004	0
6	192	0.996	0.004	0
6	193	0.995	0.005	0
6	194	0.985	0.015	0
6	195	0.994	0.006	0
6	196	0.993	0.007	0
6	197	0.995	0.005	0
6	198	0.994	0.006	0
6	199	0.987	0.013	0
6	200	0.995	0.005	0
6	201	0.994	0.006	0
6	202	0.994	0.006	0
6	203	0.984	0.016	0
6	204	0.996	0.004	0
6	205	0.98	0.02	0
6	206	0.995	0.005	0
6	207	0.995	0.005	0
6	208	0.995	0.005	0
7	1515	0.801	0.199	0
7	1516	0.825	0.175	0
7	1517	0.927	0.073	0
7	1518	0.828	0.172	0
7	1519	0.88	0.12	0
7	1520	0.959	0.041	0
7	1521	0.926	0.074	0
7	1522	0.882	0.118	0
7	1523	0.76	0.24	0
7	1524	0.837	0.163	0
7	1525	0.975	0.025	0
7	1526	0.881	0.119	0
8	1284	0.805	0.195	0
8	1285	0.849	0.151	0
8	1286	0.832	0.168	0
8	1287	0.735	0.265	0
8	1288	0.917	0.083	0
8	1289	0.938	0.062	0
8	1290	0.903	0.097	0
8	1291	0.815	0.185	0
8	1513	0.926	0.074	0
8	1514	0.878	0.122	0
9	1314	0.765	0.235	0
9	1315	0.678	0.322	0
9	1316	0.714	0.286	0
9	1317	0.8	0.2	0
9	1318	0.723	0.277	0
9	1319	0.694	0.306	0
9	1320	0.816	0.184	0
9	1321	0.704	0.296	0
9	1498	0.743	0.257	0
9	1499	0.692	0.308	0
9	1500	0.711	0.289	0
9	1501	0.707	0.293	0
9	1502	0.746	0.254	0
9	1503	0.667	0.333	0
9	1504	0.815	0.185	0
9	1505	0.661	0.339	0
9	1506	0.794	0.206	0
9	1507	0.866	0.134	0
9	1508	0.686	0.314	0
9	1509	0.705	0.295	0
10	1258	0.63	0.37	0
10	1259	0.581	0.419	0
10	1268	0.624	0.376	0
10	1269	0.634	0.366	0
10	1270	0.722	0.278	0
10	1271	0.753	0.247	0
10	1272	0.503	0.497	0
10	1273	0.613	0.387	0
10	1274	0.661	0.339	0
10	1275	0.747	0.253	0
11	1480	0.757	0.243	0
11	1481	0.664	0.336	0
11	1482	0.535	0.465	0
11	1483	0.643	0.357	0
11	1484	0.619	0.381	0
11	1485	0.585	0.415	0
11	1486	0.621	0.379	0
11	1487	0.634	0.366	0
11	1488	0.632	0.368	0
11	1489	0.588	0.412	0
11	1490	0.641	0.359	0
11	1491	0.555	0.445	0
11	1492	0.679	0.321	0
11	1493	0.595	0.405	0
11	1494	0.656	0.344	0
11	1495	0.571	0.429	0
11	1496	0.645	0.355	0
11	1497	0.566	0.434	0
12	1218	0.46	0.54	0
12	1219	0.49	0.51	0
12	1220	0.57	0.43	0
