Pop	Sample	bufo	spino	missing
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
1-4	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
5	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
6	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
7	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
8	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
9	mean	1	0	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
10	mean	0.6	0.4	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
11	mean	0.722222222	0.277777778	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
12	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
13	mean	0.3	0.7	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
14	mean	0.15	0.85	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
15	mean	0.444444444	0.555555556	0
